Date & time of file creation	4/30/2021 5:50 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\13_15 10_12 low temp hgh salinity_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\13_15 10_12 low temp hgh salinity.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	60.8800	26.3450	0.00	100.00	20.00	22.67																																							
Chamber 2	1	60.8800	27.2550	0.00	100.00	20.00	22.68																																							
Chamber 3	1	60.8800	27.3600	0.00	100.00	20.00	22.67																																							
Chamber 4	1	60.8800	26.6200	0.00	100.00	20.00	22.67																																							
Chamber 5	1	60.8800	27.5450	0.00	100.00	20.00	22.77																																							
Chamber 6	1	60.8800	21.6800	0.00	100.00	20.00	22.77																																							
Chamber 7	1	60.8800	23.0050	0.00	100.00	20.00	22.77																																							
Chamber 8	1	60.8800	23.7350	0.00	100.00	20.00	22.78																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 2	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 3	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 4	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 5	2.1	0	100	1	10	Not used	Not used	Not used																																						
Chamber 6	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 7	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
Chamber 8	2.1	0	100	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
4/30/2021/5:50:56 PM		996.0	17.2	26.3600	22.66	99.86	27.2950	22.66	99.65	27.3600	22.66	100.01	26.5700	22.66	100.49	27.5650	22.77	99.81	21.6850	22.77	99.95	23.2100	22.77	97.89	23.7400	22.77	99.96	NaN	NaN	NaN	NaN	22.6650	22.66	OFF	22.7700	22.77	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
