"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0003729",54,0.0254350374481709,0.994927707777909,4,42,"mRNA binding","MF","purple","Day18","RNA binding","XM_022430394.1;XM_022432122.1;XM_022432669.1;XM_022457310.1;XM_022457336.1;XM_022457442.1;XM_022457516.1;XM_022462108.1;XM_022462109.1;XM_022462447.1;XM_022463165.1;XM_022463840.1;XM_022467571.1;XM_022468871.1;XM_022469665.1;XM_022473633.1;XM_022477895.1;XM_022478364.1;XM_022479262.1;XM_022481054.1;XM_022481078.1;XM_022481096.1;XM_022483523.1;XM_022483539.1;XM_022483859.1;XM_022486044.1;XM_022487680.1;XM_022487681.1;XM_022488227.1;XM_022488325.1;XR_002637677.1"
"2","GO:0003735",41,2.63771456095952e-12,1,35,176,"structural constituent of ribosome","MF","purple","Day18","structural molecule activity","XM_022443630.1;XM_022444817.1;XM_022453199.1;XM_022453248.1;XM_022457442.1;XM_022458054.1;XM_022459870.1;XM_022460564.1;XM_022460790.1;XM_022462016.1;XM_022462052.1;XM_022462075.1;XM_022465356.1;XM_022465374.1;XM_022468033.1;XM_022468620.1;XM_022468823.1;XM_022470085.1;XM_022471018.1;XM_022471636.1;XM_022473390.1;XM_022474388.1;XM_022476949.1;XM_022478226.1;XM_022478229.1;XM_022478806.1;XM_022483859.1;XM_022484840.1;XM_022487525.1;XM_022487843.1;XM_022488041.1;XM_022488227.1;XM_022488558.1;XM_022489090.1;XM_022489355.1"
"3","GO:0003924",52,0.00668841522842133,0.996420863495439,27,437,"GTPase activity","MF","purple","Day18","hydrolase activity","XM_022430589.1;XM_022431957.1;XM_022433243.1;XM_022433442.1;XM_022434141.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022437777.1;XM_022440051.1;XM_022440260.1;XM_022440672.1;XM_022442855.1;XM_022443629.1;XM_022443829.1;XM_022443860.1;XM_022444670.1;XM_022446105.1;XM_022446113.1;XM_022446834.1;XM_022447206.1;XM_022448523.1;XM_022450613.1;XM_022450908.1;XM_022450970.1;XM_022452921.1;XM_022452966.1;XM_022452973.1;XM_022453421.1;XM_022453491.1;XM_022453609.1;XM_022453643.1;XM_022454820.1;XM_022455675.1;XM_022456059.1;XM_022456434.1;XM_022456845.1;XM_022457766.1;XM_022459358.1;XM_022459927.1;XM_022461486.1;XM_022461682.1;XM_022461849.1;XM_022461869.1;XM_022462079.1;XM_022462096.1;XM_022462249.1;XM_022463223.1;XM_022463657.1;XM_022463712.1;XM_022464503.1;XM_022466303.1;XM_022467119.1;XM_022467121.1;XM_022468087.1;XM_022468233.1;XM_022468529.1;XM_022468623.1;XM_022469210.1;XM_022469715.1;XM_022469898.1;XM_022469983.1;XM_022470250.1;XM_022471677.1;XM_022472378.1;XM_022472653.1;XM_022473237.1;XM_022475138.1;XM_022475467.1;XM_022476258.1;XM_022476322.1;XM_022476327.1;XM_022476331.1;XM_022476334.1;XM_022476517.1;XM_022477002.1;XM_022477012.1;XM_022477149.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477680.1;XM_022477699.1;XM_022478079.1;XM_022478787.1;XM_022479262.1;XM_022479396.1;XM_022480005.1;XM_022480165.1;XM_022481741.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483279.1;XM_022483423.1;XM_022484087.1;XM_022484273.1;XM_022484787.1;XM_022485256.1;XM_022485330.1;XM_022485783.1;XM_022486927.1;XM_022487468.1;XM_022487646.1;XM_022488232.1;XM_022490405.1"
"4","GO:0004386",45,0.000403802926173863,0.999927497991713,8,119,"helicase activity","MF","purple","Day18","hydrolase activity","XM_022430589.1;XM_022431957.1;XM_022433243.1;XM_022433442.1;XM_022434141.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022437777.1;XM_022440051.1;XM_022440260.1;XM_022440672.1;XM_022442855.1;XM_022443629.1;XM_022443829.1;XM_022443860.1;XM_022444670.1;XM_022446105.1;XM_022446113.1;XM_022446834.1;XM_022447206.1;XM_022448523.1;XM_022450613.1;XM_022450908.1;XM_022450970.1;XM_022452921.1;XM_022452966.1;XM_022452973.1;XM_022453421.1;XM_022453491.1;XM_022453609.1;XM_022453643.1;XM_022454820.1;XM_022455675.1;XM_022456059.1;XM_022456434.1;XM_022456845.1;XM_022457766.1;XM_022459358.1;XM_022459927.1;XM_022461486.1;XM_022461682.1;XM_022461849.1;XM_022461869.1;XM_022462079.1;XM_022462096.1;XM_022462249.1;XM_022463223.1;XM_022463657.1;XM_022463712.1;XM_022464503.1;XM_022466303.1;XM_022467119.1;XM_022467121.1;XM_022468087.1;XM_022468233.1;XM_022468529.1;XM_022468623.1;XM_022469210.1;XM_022469715.1;XM_022469898.1;XM_022469983.1;XM_022470250.1;XM_022471677.1;XM_022472378.1;XM_022472653.1;XM_022473237.1;XM_022475138.1;XM_022475467.1;XM_022476258.1;XM_022476322.1;XM_022476327.1;XM_022476331.1;XM_022476334.1;XM_022476517.1;XM_022477002.1;XM_022477012.1;XM_022477149.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477680.1;XM_022477699.1;XM_022478079.1;XM_022478787.1;XM_022479262.1;XM_022479396.1;XM_022480005.1;XM_022480165.1;XM_022481741.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483279.1;XM_022483423.1;XM_022484087.1;XM_022484273.1;XM_022484787.1;XM_022485256.1;XM_022485330.1;XM_022485783.1;XM_022486927.1;XM_022487468.1;XM_022487646.1;XM_022488232.1;XM_022490405.1"
"5","GO:0008135",37,4.96575260451503e-20,1,25,66,"translation factor activity, RNA binding","MF","purple","Day18","translation regulator activity","XM_022430394.1;XM_022432122.1;XM_022432669.1;XM_022457310.1;XM_022457336.1;XM_022457516.1;XM_022462108.1;XM_022462109.1;XM_022462447.1;XM_022463840.1;XM_022467571.1;XM_022468871.1;XM_022469665.1;XM_022473633.1;XM_022477895.1;XM_022478364.1;XM_022479262.1;XM_022481054.1;XM_022481078.1;XM_022481096.1;XM_022483539.1;XM_022486044.1;XM_022487680.1;XM_022487681.1;XM_022488325.1"
"6","GO:0008135",37,4.96575260451503e-20,1,25,66,"translation factor activity, RNA binding","MF","purple","Day18","RNA binding","XM_022430394.1;XM_022432122.1;XM_022432669.1;XM_022457310.1;XM_022457336.1;XM_022457442.1;XM_022457516.1;XM_022462108.1;XM_022462109.1;XM_022462447.1;XM_022463165.1;XM_022463840.1;XM_022467571.1;XM_022468871.1;XM_022469665.1;XM_022473633.1;XM_022477895.1;XM_022478364.1;XM_022479262.1;XM_022481054.1;XM_022481078.1;XM_022481096.1;XM_022483523.1;XM_022483539.1;XM_022483859.1;XM_022486044.1;XM_022487680.1;XM_022487681.1;XM_022488227.1;XM_022488325.1;XR_002637677.1"
"7","GO:0008168",48,0.000833208024265884,0.99970971621531,16,210,"methyltransferase activity","MF","purple","Day18","transferase activity","XM_022430415.1;XM_022431972.1;XM_022437412.1;XM_022451212.1;XM_022459361.1;XM_022464554.1;XM_022465681.1;XM_022466489.1;XM_022467910.1;XM_022470976.1;XM_022471445.1;XM_022479064.1;XM_022483216.1;XM_022485302.1;XM_022485434.1;XM_022487944.1"
"8","GO:0008233",50,0.00302306291920602,0.998224182017463,42,1210,"peptidase activity","MF","purple","Day18","hydrolase activity","XM_022430589.1;XM_022431957.1;XM_022433243.1;XM_022433442.1;XM_022434141.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022437777.1;XM_022440051.1;XM_022440260.1;XM_022440672.1;XM_022442855.1;XM_022443629.1;XM_022443829.1;XM_022443860.1;XM_022444670.1;XM_022446105.1;XM_022446113.1;XM_022446834.1;XM_022447206.1;XM_022448523.1;XM_022450613.1;XM_022450908.1;XM_022450970.1;XM_022452921.1;XM_022452966.1;XM_022452973.1;XM_022453421.1;XM_022453491.1;XM_022453609.1;XM_022453643.1;XM_022454820.1;XM_022455675.1;XM_022456059.1;XM_022456434.1;XM_022456845.1;XM_022457766.1;XM_022459358.1;XM_022459927.1;XM_022461486.1;XM_022461682.1;XM_022461849.1;XM_022461869.1;XM_022462079.1;XM_022462096.1;XM_022462249.1;XM_022463223.1;XM_022463657.1;XM_022463712.1;XM_022464503.1;XM_022466303.1;XM_022467119.1;XM_022467121.1;XM_022468087.1;XM_022468233.1;XM_022468529.1;XM_022468623.1;XM_022469210.1;XM_022469715.1;XM_022469898.1;XM_022469983.1;XM_022470250.1;XM_022471677.1;XM_022472378.1;XM_022472653.1;XM_022473237.1;XM_022475138.1;XM_022475467.1;XM_022476258.1;XM_022476322.1;XM_022476327.1;XM_022476331.1;XM_022476334.1;XM_022476517.1;XM_022477002.1;XM_022477012.1;XM_022477149.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477680.1;XM_022477699.1;XM_022478079.1;XM_022478787.1;XM_022479262.1;XM_022479396.1;XM_022480005.1;XM_022480165.1;XM_022481741.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483279.1;XM_022483423.1;XM_022484087.1;XM_022484273.1;XM_022484787.1;XM_022485256.1;XM_022485330.1;XM_022485783.1;XM_022486927.1;XM_022487468.1;XM_022487646.1;XM_022488232.1;XM_022490405.1"
"9","GO:0008233",50,0.00302306291920602,0.998224182017463,42,1210,"peptidase activity","MF","purple","Day18","catalytic activity, acting on a pro...","XM_022430589.1;XM_022434141.1;XM_022434896.1;XM_022437713.1;XM_022443829.1;XM_022446834.1;XM_022452966.1;XM_022453609.1;XM_022454820.1;XM_022455675.1;XM_022456059.1;XM_022456434.1;XM_022459358.1;XM_022461682.1;XM_022461849.1;XM_022462079.1;XM_022462096.1;XM_022462249.1;XM_022463223.1;XM_022463657.1;XM_022463712.1;XM_022464503.1;XM_022469898.1;XM_022469983.1;XM_022472653.1;XM_022473237.1;XM_022476258.1;XM_022476331.1;XM_022476334.1;XM_022477002.1;XM_022477478.1;XM_022477503.1;XM_022480005.1;XM_022480165.1;XM_022481852.1;XM_022482017.1;XM_022483110.1;XM_022484087.1;XM_022484273.1;XM_022485330.1;XM_022486927.1;XM_022487646.1"
"10","GO:0016887",40,1.71327734142739e-12,1,33,437,"ATPase activity","MF","purple","Day18","hydrolase activity","XM_022430589.1;XM_022431957.1;XM_022433243.1;XM_022433442.1;XM_022434141.1;XM_022434896.1;XM_022437547.1;XM_022437713.1;XM_022437777.1;XM_022440051.1;XM_022440260.1;XM_022440672.1;XM_022442855.1;XM_022443629.1;XM_022443829.1;XM_022443860.1;XM_022444670.1;XM_022446105.1;XM_022446113.1;XM_022446834.1;XM_022447206.1;XM_022448523.1;XM_022450613.1;XM_022450908.1;XM_022450970.1;XM_022452921.1;XM_022452966.1;XM_022452973.1;XM_022453421.1;XM_022453491.1;XM_022453609.1;XM_022453643.1;XM_022454820.1;XM_022455675.1;XM_022456059.1;XM_022456434.1;XM_022456845.1;XM_022457766.1;XM_022459358.1;XM_022459927.1;XM_022461486.1;XM_022461682.1;XM_022461849.1;XM_022461869.1;XM_022462079.1;XM_022462096.1;XM_022462249.1;XM_022463223.1;XM_022463657.1;XM_022463712.1;XM_022464503.1;XM_022466303.1;XM_022467119.1;XM_022467121.1;XM_022468087.1;XM_022468233.1;XM_022468529.1;XM_022468623.1;XM_022469210.1;XM_022469715.1;XM_022469898.1;XM_022469983.1;XM_022470250.1;XM_022471677.1;XM_022472378.1;XM_022472653.1;XM_022473237.1;XM_022475138.1;XM_022475467.1;XM_022476258.1;XM_022476322.1;XM_022476327.1;XM_022476331.1;XM_022476334.1;XM_022476517.1;XM_022477002.1;XM_022477012.1;XM_022477149.1;XM_022477191.1;XM_022477478.1;XM_022477503.1;XM_022477680.1;XM_022477699.1;XM_022478079.1;XM_022478787.1;XM_022479262.1;XM_022479396.1;XM_022480005.1;XM_022480165.1;XM_022481741.1;XM_022481852.1;XM_022482017.1;XM_022482989.1;XM_022483110.1;XM_022483279.1;XM_022483423.1;XM_022484087.1;XM_022484273.1;XM_022484787.1;XM_022485256.1;XM_022485330.1;XM_022485783.1;XM_022486927.1;XM_022487468.1;XM_022487646.1;XM_022488232.1;XM_022490405.1"
