"Day","moduleColor","GO_term","GO_ID","ontology","pvalue","Gene_count","Transcript_ID","geneSymbol","Protein_name"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022475438.1","LOC111129194"," aldose 1-epimerase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022467411.1","LOC111124501"," alpha-amylase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022467410.1","LOC111124501"," alpha-amylase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022449059.1","LOC111111878"," alpha-amylase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022453015.1","LOC111114625"," alpha-amylase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022489626.1","LOC111137925"," anti-sigma-I factor RsgI6-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022489627.1","LOC111137926"," anti-sigma-I factor RsgI6-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022461046.1","LOC111120322"," chitotriosidase-1-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022482782.1","LOC111134018"," endoglucanase 14-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022432399.1","LOC111100475"," hexokinase-2-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022472782.1","LOC111127562"," inositol oxygenase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022451104.1","LOC111113117"," lysozyme 1-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022451106.1","LOC111113119"," lysozyme 1-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022488230.1","LOC111137008"," lysozyme 2"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022433002.1","LOC111100849"," lysozyme 3"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022446722.1","LOC111110293"," lysozyme 3-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022467246.1","LOC111124394"," trehalase-like"
"Day18","blue","carbohydrate metabolic process","GO:0005975","BP",1.8198374008465e-05,18,"XM_022468642.1","LOC111125139"," uncharacterized"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022455465.1","LOC111116469"," carboxypeptidase A1-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022483138.1","LOC111134249"," catalase-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022468543.1","LOC111125083"," ganglioside GM2 activator-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022432399.1","LOC111100475"," hexokinase-2-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022472782.1","LOC111127562"," inositol oxygenase-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022468413.1","LOC111125013"," mitochondria-eating protein-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022463532.1","LOC111122015"," pancreatic triacylglycerol lipase-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022457451.1","LOC111118134"," pancreatic triacylglycerol lipase-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022459096.1","LOC111119193"," pancreatic triacylglycerol lipase-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022433377.1","LOC111101087"," peptidoglycan-recognition protein SC2-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022433733.1","LOC111101290"," peptidoglycan-recognition protein SC2-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022431191.1","LOC111099755"," peptidoglycan-recognition protein SC2-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022448304.1","LOC111111363"," phospholipase B1, membrane-associated-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022469926.1","LOC111125797"," trichohyalin-like"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022439588.1","LOC111105348"," uncharacterized"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022473914.1","LOC111128341"," uncharacterized"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022439594.1","LOC111105355"," uncharacterized"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022487647.1","LOC111136645"," uncharacterized"
"Day18","blue","catabolic process","GO:0009056","BP",7.22090890050128e-05,19,"XM_022438883.1","LOC111104768"," uncharacterized"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022457605.1","LOC111118248"," 40S ribosomal protein S12-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022471799.1","LOC111126883"," 40S ribosomal protein S19-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022464259.1","LOC111122453"," 40S ribosomal protein S21-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022442456.1","LOC111107317"," 40S ribosomal protein S23"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022459436.1","LOC111119359"," 40S ribosomal protein S24-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022459437.1","LOC111119359"," 40S ribosomal protein S24-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022477001.1","LOC111130218"," 40S ribosomal protein S6-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022489606.1","LOC111137903"," 60S acidic ribosomal protein P2-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022482338.1","LOC111133720"," 60S ribosomal protein L14-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022468134.1","LOC111124874"," 60S ribosomal protein L19-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022435531.1","LOC111102683"," 60S ribosomal protein L44-like"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022478637.1","LOC111131216"," ubiquitin-40S ribosomal protein S27a"
"Day18","blue","translation","GO:0006412","BP",0.00168476105539061,13,"XM_022473888.1","LOC111128317"," ubiquitin-like protein FUBI"
